symbol,bank_name,bank_type,period,year,quarter,total_assets,total_liabilities,equity,customer_loans,loan_group_1_2,npl_group_3_4_5,loan_loss_provision,customer_deposits,casa_deposits,net_interest_income,earning_assets_avg,net_profit,market_price,eps,book_value,bs_calculated_assets,bs_diff_amount,bs_diff_pct,bs_reconciled,loan_calculated_total,loan_diff_amount,loan_diff_pct,loan_reconciled,audit_status,nim,npl_ratio,llr_ratio,casa_ratio,roe,roa,pe_ratio,pb_ratio,equity_multiplier
TCB,Techcombank,Private,2024-Q1,2024,Q1,860000,722000,138000,564000,557620,6380,6800,458000,185490,8500,775000,6270,46500,5600,39300,860000,0,0.0,True,564000,0,0.0,True,PASSED_100%,4.39,1.13,106.6,40.5,18.17,2.92,8.3,1.18,6.23
TCB,Techcombank,Private,2024-Q2,2024,Q2,908000,763000,145000,592000,584426,7574,7650,483000,194166,8700,815000,6310,23500,3150,20600,908000,0,0.0,True,592000,0,0.0,True,PASSED_100%,4.27,1.28,101.0,40.2,17.41,2.78,7.46,1.14,6.26
TCB,Techcombank,Private,2024-Q3,2024,Q3,927000,776000,151000,611000,602784,8216,8520,495000,200475,8950,835000,5830,24200,3320,21500,927000,0,0.0,True,611000,0,0.0,True,PASSED_100%,4.29,1.34,103.7,40.5,15.44,2.52,7.29,1.13,6.14
TCB,Techcombank,Private,2024-Q4,2024,Q4,978000,819000,159000,648000,639832,8168,8900,530000,222600,9450,880000,6680,25100,3580,22600,978000,0,0.0,True,648000,0,0.0,True,PASSED_100%,4.3,1.26,109.0,42.0,16.81,2.73,7.01,1.11,6.15
MBB,MBBank,Private,2023-Q1,2023,Q1,760000,679000,81000,480000,471552,8448,11600,452000,160460,10200,690000,5100,18200,4120,17800,760000,0,0.0,True,480000,0,0.0,True,PASSED_100%,5.91,1.76,137.3,35.5,25.19,2.68,4.42,1.02,9.38
MBB,MBBank,Private,2023-Q2,2023,Q2,806000,720000,86000,518000,510528,7472,11700,475000,176225,9500,730000,4820,20500,4200,18900,806000,0,0.0,True,518000,0,0.0,True,PASSED_100%,5.21,1.44,156.6,37.1,22.42,2.39,4.88,1.08,9.37
MBB,MBBank,Private,2023-Q3,2023,Q3,816000,726000,90000,535000,524942,10058,12300,480000,172800,9800,745000,5650,18800,4350,19800,816000,0,0.0,True,535000,0,0.0,True,PASSED_100%,5.26,1.88,122.3,36.0,25.11,2.77,4.32,0.95,9.07
MBB,MBBank,Private,2023-Q4,2023,Q4,945000,846000,99000,611000,601224,9776,11450,567000,226800,9180,840000,4980,18600,4480,21800,945000,0,0.0,True,611000,0,0.0,True,PASSED_100%,4.37,1.6,117.1,40.0,20.12,2.11,4.15,0.85,9.55
MBB,MBBank,Private,2024-Q1,2024,Q1,900000,796000,104000,615000,599688,15312,12300,558000,206460,9750,820000,4560,24000,4510,22900,900000,0,0.0,True,615000,0,0.0,True,PASSED_100%,4.76,2.49,80.3,37.0,17.54,2.03,5.32,1.05,8.65
MBB,MBBank,Private,2024-Q2,2024,Q2,988000,878000,110000,673000,658409,14591,14800,618000,239784,10150,890000,5890,22500,4680,24200,988000,0,0.0,True,673000,0,0.0,True,PASSED_100%,4.56,2.17,101.4,38.8,21.42,2.38,4.81,0.93,8.98
MBB,MBBank,Private,2024-Q3,2024,Q3,1028000,912000,116000,702000,686345,15655,16000,628000,243664,10600,930000,5670,25200,4790,25500,1028000,0,0.0,True,702000,0,0.0,True,PASSED_100%,4.56,2.23,102.2,38.8,19.55,2.21,5.26,0.99,8.86
MBB,MBBank,Private,2024-Q4,2024,Q4,1120000,996000,124000,776000,763584,12416,16200,685000,274000,11500,1010000,6730,24800,5080,27200,1120000,0,0.0,True,776000,0,0.0,True,PASSED_100%,4.55,1.6,130.5,40.0,21.71,2.4,4.88,0.91,9.03
